question;answer
Форматы ВКР;"1. Классическое ВКР по учебной теме: Это традиционный вариант выполнения дипломного проекта, который включает написание научной работы по выбранной теме. Студенты проводят теоретические исследования, анализируют литературу, разрабатывают методологию решения проблемы и представляют результаты своего труда.

2. Стартап как диплом: Этот подход предполагает создание реального бизнес-проекта или стартапа вместо традиционной письменной работы. Студентам предоставляется возможность разработать идею продукта или услуги, составить бизнес-план, разработать MVP и даже начать реализацию проекта.

3. Фундаментальное исследование для тех, кто пойдёт в аспирантуру: Этот вариант ориентирован на студентов, планирующих продолжить академическую карьеру и поступить в аспирантуру. Он подразумевает проведение глубокого научного исследования по актуальной проблеме в рамках своей дисциплины. В отличие от классического ВКР, акцент делается на оригинальность исследования, разработку новых теорий или методов, а также публикацию результатов в научных журналах"
Примеры ВКР;"1. «Разработка алгоритма для обнаружения дефектов корпусных деталей двигателя на основе компьютерного зрения»

Актуальность исследования:Корпусные детали двигателя играют ключевую роль в обеспечении надежности и долговечности всего агрегата. Однако дефекты при производстве или эксплуатации таких компонентов могут привести к серьезным поломкам и дорогостоящим ремонтам. В настоящее время проверка качества этих деталей часто осуществляется вручную, что требует значительных затрат времени и ресурсов.

Использование автоматизированных систем на базе машинного обучения способно значительно повысить эффективность процесса контроля качества.

2. «Автоматизированная система диагностики злокачественных новообразований кожи на основе анализа медицинских изображений»

Актуальность исследования:Ранняя диагностика злокачественных опухолей кожи, таких как меланома, является критически важной задачей современной медицины. Традиционные методы диагностики требуют участия высококвалифицированных специалистов и занимают значительное время. Автоматизация процесса диагностики с использованием технологий искусственного интеллекта позволит ускорить процесс, повысить точность и доступность медицинской помощи."
"Отличие программ ""Прикладной искусственный интеллект"" и ""Инженерия машинного обучения""";"Прикладной искусственный интеллект: Программа, разработанная в ИРИТ-РТФ УрФУ сотрудничестве с Нетологией, направлена на практическое применение технологий искусственного интеллекта в области анализа данных (Data Analyst) и исследований для решения задач на основе данных (Data Scientis). Вы будете углубленно изучать алгоритмы и подходы к решению задач на основе машинного обучения и ИИ в целом. А также изучите, как использовать ИИ для решения реальных задач в бизнесе и различных отраслях, получите знания о современных инструментах и технологиях ИИ.

Инженерия машинного обучения: Эта новая программа, ИРИТ-РТФ УрФУ с Нетологией, сосредоточена на инженерных и практических аспектах применения машинного обучения (DE или MLE) при создании готовых программно-аппаратных продуктов. Вы будете углубленно изучать не только методы машинного обучения и их математические основы, но и особенности применения технологий ИИ в разработке сложных программно-аппаратных. Программа также включает проектную работу и исследовательскую деятельность.

т.е. если совсем кратко, для понимания:
Программа Прикладной искусственный интеллект представляет собой более исследовательскую программу, где особое внимание уделяется компьютерному зрению, NLP, анализу временных рядов и другим подобным направлениям. В результате выпускник программы должен обладать навыками постановки задач в области дата-сайенс и поиска путей их решения. Это специалист, который занимается созданием прототипов продуктов и минимально жизнеспособных продуктов (MVP).

С другой стороны, программа Инженерия машинного обучения: данная программа имеет более инженерную направленность, где значительное внимание уделяется таким курсам, как MLOps, Программная инженерия и Дата- инженерия. Выпускники этой программы должны уметь интегрировать модели машинного обучения в реальные программно-аппаратные системы. Это специалисты, которые могут превратить доказательный прототип в полноценную систему.

















































































"
Ключевые преподаватели;"Михаил Ронкин академический руководитель программы, доцент кафедпы радиотехники и информационных технологий УрФУ, кандидат технических наук,

Владимир Тимохин - профессор УрФу, доктор экономических наук, методолог экономической кибернетики специалист по моделированию динамики в управлении сложными системами, имитационному моделированию и теории жизнеспособных систем, он будет преподавать Программирование на Пайтон,

Святосла Солодушкин - доцент УрФУ, кандидат физико-математических наук, преподает дисциплину математические основы мскусственного интеллекта. - сильные эксперты (из каких компаний / кто, какие достижения),

Ведущие специалисты рынка: Альфа Банк, Авито, Пятерочка, Озон, Тинькофф. Так, например в первом семестре у Вас из экспертов будет подключены

Владислав Шевченко - ведущий инженер разработки и внедрения моделей машинного обучения Альфа банка, а также

Наталья Баданина - МЛ разработчик компания Чистая линия"
Стоимость обучения;"Стоимость обучения
Тарифная политика:

Стоимость обучения за один семестр: 140 000 (сто сорок тысяч) рублей

Общая стоимость образовательной программы (2 года): 560 000 (пятьсот шестьдесят тысяч) рублей"
Варианты оплаты ;"Доступные формы оплаты:

Посеместровая оплата

Единовременный платёж

Финансовая поддержка:

Программа образовательного кредитования с государственной поддержкой, предусматривающая частичное возмещение затрат на обучение за счёт средств федерального бюджета"
Налоговые льготы;"Социальный налоговый вычет:

Возможность получения налогового вычета в размере 13% от стоимости обучения

Договор соответствует требованиям законодательства РФ в сфере образования

Подробная инструкция по оформлению налогового вычета размещена на главной странице официального сайта образовательной организации"
Учебный план;"Первый год обучения
Первый семестр
Изучите программирование на Python и веб-технологии в бизнесе. Познакомитесь с философией и методологией науки, которая поможет лучше понять принципы работы искусственного интеллекта. Машинное обучение станет ещё одним важным аспектом семестра, а проектный практикум позволит применить полученные знания на практике и создать первые проекты в области искусственного интеллекта.

Математические основы искусственного интеллекта
Программирование на Python
Основы программной инженерии
Цифровые компетенции в научной деятельности
Машинное обучение
Проектный практикум
Инструменты бизнес-аналитики 1

Второй семестр
Изучите продвинутые методы машинного обучения, нейронные сети и анализ временных рядов. Познакомитесь с алгоритмами и структурами данных, необходимыми для разработки эффективных и масштабируемых систем приложений, связанных с искусственным интеллектом. Примените полученные знания на практике в работе над реальными проектами и задачами в области искусственного интеллекта

Машинное обучение
Анализ временных рядов
Глубокое обучение
Инструменты бизнес-аналитики 2
Продвинутая программная инженерия
Математические основы искусственного интеллекта
Проектный практикум 2

Второй год обучения
Третий семестр
Изучите методы и алгоритмы для анализа спортивных данных, а также инструменты для бизнес-аналитики. Примените полученные знания на практике в работе над реальными проектами и задачами в области искусственного интеллекта.

Дисциплина по выбору: Бизнес применения машинного обучения/ Доверенный ИИ
Компьютерное зрение
Обработка естественного языка
Проектный практикум 3
Производственная, научно-исследовательская работа
Интеграция Искусственного Интеллекта в разработку

Четвёртый семестр
Напишете выпускную квалификационную работу в любом из доступных форматов, среди которых: работа над реальным кейсом от компании, подготовка научной статьи, проекта или разработки собственной модели.

Учебная практика, проектно-технологическая
Производственная, преддипломная практика
Подготовка и защита ВКР"
Партнеры программы;"Партнёр курса — Yandex Cloud

Инфраструктурные архитекторы и DevOps-специалисты Яндекса участвовали в разработке дисциплины «Продвинутая программная инженерия». Вы сможете бесплатно использовать этот облачный сервис для выполнения практических заданий во время обучения

МТС, Альфа-Банк, Чистая Линия - предоставляют дата-сеты для решения практических кейсов.

Stockmod: кейс: Прогноз направления движения финансового рынка с использованием нейронных сетей

МТС Банк: кейс Разработка прогнозной модели, предсказывающей дефолт по кредиту или займу"
Переводы;"Заявки на перевод принимаются круглый год

Перевод в УрФУ возможен при наличии академической разницы (задолженности) за предыдущие курсы по дисциплинам учебного плана общим объемом не более 15 зачетных единиц, при наличии вакантных мест на направлении в УрФУ. Курс зависит от академической разницы."
Поступление на программу;Прием документов с 20 июня по 18 сентября
Вступительные испытания;"Период сдачи вступительных испытаний:

1 волна: 1 июля - 21 августа
2 волна: 1 сентября - 23 сентября

Вступительные испытания - это 1 тест из 50 вопросов (20 б русский язык, 30 б математика, 50 б специальные вопросы по специализации), надо набрать минимум 20 баллов.
1. проргамма:
  https://priem-rtf.urfu.ru/fileadmin/user_upload/site_18515/documents/Vstupitelnye_ispytanija_magistratura/2022/Programma_vstupitelnykh_ispytanii___v_magistraturu_obedinennaja_09.pdf
2. демо: 
  https://priem-rtf.urfu.ru/fileadmin/user_upload/site_18515/documents/Priem-2023/magistracy_tests/09group.pdf
С прокторингом, сдавать экзамен можно круглосуточно"
Где посмотреть информацию о программе?;"- учебный план магистратуры
- информация о команде программы, преподавателях, таймлайне обучения"
Где посмотреть расписание занятий?;"Расписание занятий будет доступно позже в сентябре. Его можно будет найти в личном
кабинете в разделе «Расписание» и в файле с расписанием, ссылку на который мы
выложим в Telegram-канал группы.
Каждый понедельник координатор программы будет направлять в Telegram-канал
группы информацию о расписании на всю предстоящую неделю. А утром каждого 
учебного дня - напоминать о планах на день."
Где познакомиться с командой программы и одногруппниками?;"Предлагаем каждому рассказать немного о себе. Для этого напишите в учебном чате в
разделе «Болталка» о себе:
- напишите ваши имя и фамилию;
- укажите место проживания, предыдущее образование и ваш карьерный статус;
- чтобы персонифицировать себя не только как студента и специалиста, но и как
личность, расскажите о своих увлечениях, хобби;
- если хотите, поделитесь ссылками на социальные сети и свой блог;
- чтобы быстро изучить информацию обо всех участниках ставьте хештег
#знакомство  "
Как найти учебное пространство для студентов?;"Для студентов вашей программы создано учебное пространство в Telegram. Именно там
будет проходить вся коммуникация с однокурсниками, преподавателями и командой
магистратуры. Чтобы мы могли добавить вас в группу, внесите свои данные в форму.
В сообществе будет вся важная информация по программе: анонсы вебинаров и
занятий, изменения в расписании и т.д. Также в учебном пространстве вы найдете
отдельные каналы по каждой дисциплине, где сможете общаться с преподавателем и
одногруппниками.
Пожалуйста, просматривайте сообщения от координатора, чтобы не пропустить ничего 
важного :)"
Кто такой координатор программы и как его найти?;"Координатор программы отвечает на организационные вопросы студентов в Telegram,
личном кабинете Нетологии и следит за вашей успеваемостью. Рабочее время
координатора 10:00 до 19:00 по МСК, пн-пт. Просим вести коммуникацию в текстовом
формате (не голосовыми сообщениями). Если вы написали вопрос координатору, ваше
сообщение увидят и обязательно ответят в ближайший рабочий день.
Координатор нашей программы – Валентина Игитова. Задать вопрос координатору
можно  в Telegram в разделе «Вопрос-Ответ». Вопросы могут касаться организации
учебного  процесса, домашних заданий, расписания, образовательной платформы
Нетологии и т.д.
Также вы можете обратиться к координатору через личный кабинет на платформе
Нетология через облачко в нижнем правом углу страниц."
Ваши контакты в вузе?;"Данилова Анна Андреевна (Деканат ИРИТ-РтФ, УРФУ)
Методист по работе со студентами
a.a.danilova@urfu.ru
К Анне Андреевне обращайтесь по всем вопросам, связанным со статусом обучающегося:
● оформления отчисления, академического отпуска,
● восстановления и расчета стоимости при восстановлении,
● справок об обучении, вызова на сессию, справки для военкомата для тех, у кого 
военный билет,
● изменения ФИО после вступления в брак, получения академической справки и т.д.
тем, кто меняет фамилию

Коломыцева Анна Олеговна (Деканат ИРИТ-РтФ, УРФУ)
Администратор программы от УРФУ в Школе академического и профессионального
образования ИРИТ РтФ
a.o.kolomytseva@urfu.ru
К Анне Олеговне обращайтесь по следующим вопросам:
● проблемы с итоговыми оценками в балльно-рейтинговой системе в сессию,
● анализ личной успеваемости,
● наличие долга за обучение,
● предоставление справки из 2-го отдела УРФУ для отсрочки (после регистрации),
● почтовое отправление документов из/в УРФУ при запросе в оригинале"
Где задать организационный вопрос по программе?;"Организационные вопросы по программе вы можете задавать координатору в учебном
пространстве в Telegram. В рабочее время вам ответят в течение 2 часов."
Почему мне не отвечает координатор?;"Рабочее время координатора с 10:00 до  19:00 по МСК в будние дни, в выходные мы
стараемся отдыхать. Если вам не ответили на ваше сообщение в выходной, значит,
обязательно ответят на следующий рабочий день."
Какие существуют правила общения?;"Правила общения
1. Общаемся открыто и вежливо, культурно и уважительно в отношении своих
одногруппников, коллег, преподавателей, команды программы.
2. Если возникают сложности, то пишем о них конструктивно и стараемся не
переходить на эмоции. Это поможет быстрее разобраться в ситуации и решить
проблему.
3. Пишем в рабочее время преподавателям и команде программы. Если выходите за
рамки рабочего дня по московскому времени, то лучше написать отложенное
сообщение.
4. С пониманием относимся к точке зрения собеседника.
5. Не используем нецензурную лексику.
6. Запрещены реклама, спам и флуд.
Координатор всегда готов прийти вам на помощь по вопросам обучения.
Чтобы учеба проходила максимально эффективно, мы обещаем:
● письменно отвечать на организационные вопросы по программе;
● письменно отвечать на вопросы, связанные с размещением материалов на
платформе Нетологии;
● помогать и поддерживать на протяжении обучения;
● принимать идеи и предложения для улучшения магистратуры.

Мы придерживаемся принципа равных условий обучения для всех наших студентов.
Мы не оказываем в рамках прохождения магистратуры услуги:
● консалтинга по личным проектам студентов;
● консультирования по тестам программы / решения тестов за студентов;
● выполнения / помощи в выполнении практики по собственному проекту студента,
которая может быть приравнена к консалтинговой;
● персональной консультации в формате аудио / видео-звонков."
Как зайти в личный кабинет студента на платформе Нетологии?;"Как только координатор добавит вас к личному кабинету на сайте Нетологии, вам на
почту придет ссылка на вход (пароль необходимо придумать).
Далее для входа в личный кабинет можно пользоваться следующей инструкцией:
Перейдите по ссылке, введите ваш логин (<<Email>>) и пароль. Если у вас нет пароля
от личного  кабинета, нажмите на кнопку «Восстановить пароль» и следуйте
инструкциям.
Если не получилось, напишите вашему вашему координатору в Telegram  в разделе
«Вопрос-Ответ» или по электронной почте v.igitova@netology.ru"
Где хранятся все материалы программы и как ими пользоваться?;"Записи вебинаров, презентации спикеров и проверенные домашние задания с
комментариями доступны вам в личном кабинете Нетологии.
Если вам нужно открыть вкладку в новом окне, нажмите на ссылку правой кнопкой
мыши или тачпада и выберите «Открыть в новом окне».
Запись вебинара можно просматривать в замедленном или ускоренном режиме.
Презентации доступны для загрузки. После скачивания презентации ссылки,
имеющиеся в них, остаются активными."
Как оставить обратную связь по занятию / программе?;"Чтобы оставить обратную связь, вы можете поставить лайк / дизлайк на платформе
Нетологии. Вы также можете оставить комментарий в окне под видео.
Оставляйте свои отзывы после занятий, участвуйте в опросах, которые публикуются на
платформе Нетологии и в Telegram.
В личном кабинете Нетологии у вас есть возможность поставить оценку занятию с
помощью набора смайликов. После чего в появившемся ниже текстовом поле вы
можете прокомментировать свою оценку и / или оставить отзыв."
Анкетирование;"В начале первого семестра мы проводим входное анкетирование. Мы хотели бы узнать
больше о ваших целях и задачах, которые вы ставите себе на время обучения, чтобы
помочь вам в их достижении. Ваши ответы на вопросы анкеты помогут нам сделать
ваше обучение максимально полезным, интересным и комфортным, чтобы вы достигли
поставленных целей и остались довольны программой."
Как получить студенческий билет?;"https://forms.yandex.ru/u/638603aae010db1954d4d6dc/

В настоящий момент вам доступна возможность получения бумажного студенческого 
билета, который будет отправлен вам почтой после того, как вы заполните
регистрационную форму.
Это единая форма также и для получения справок для военкомата (подробнее ниже).
Если вам не нужны справки для военкомата (вы девушка / вы имеете иностранное
гражданство / вы мужчина, но 100% уверены, что справка вам не нужна (работаете в
аккредитованной IT компании / что-то ещё)), то в этом пункте формы вы
прикладываете пустой белый лист - так вуз поймёт, что вам нужен только студенческий
билет.
Для студенческого нужно ваше фото размером 3*4 см. Если вы прикладываете скан
фотографии, пожалуйста, при сканировании положите фото на белый лист, на котором
рядом с фото напишите своё ФИО (сотруднику вуза будет намного легче
идентифицировать вас). Если у вас фото в электронном формате, как минимум,
назовите файл своим ФИО, но лучше, если сможете «смонтировать» ваше фото + рядом
подпись ФИО - и сохранить в формате .jpeg
Просим обратить внимание, что студенческий билет делается 1 раз в начале обучения.
Рекомендуем оформлять его всем студентам, находящимся на территории РФ (даже
если сейчас кажется, что он не нужен, впоследствии может понадобиться, например,
при покупке ж/д билетов (есть скидки для студентов)). Если вы не закажете его 
сейчас, сделать его позже будет сложно (поэтому лучше закажите)."
Как встать на военный учет и получить справку об отсрочке от армии для 1 курса?;"https://forms.yandex.ru/u/638603aae010db1954d4d6dc/

Как только вы поступили на программу, вам нужно сразу же пройти регистрацию,
заполнив всё ту же форму. Пожалуйста, будьте внимательны и прикладывайте все
запрашиваемые документы. Вам нужно собрать в один файл:
- копию паспорта (всех заполненных страниц);
- копию удостоверения приписного или военного билета (всех заполненных страниц)
- копию свидетельств о браке/разводе/рождении детей (при наличии)
Как только справки для вас будет готовы, вуз отправит их вам. Вам доступна отправка
за счёт вуза почтой России, однако ввиду важности отправляемых документов (и, как
правило, особой срочности), рекомендуем вас запросить отправку СДЭКом (отправка в
этом случае будет за ваш счёт). Срок доставки СДЭКом около 3х дней, оплата при
получении вами письма с документами.
Если вам нужна отправка СДЭКом, пожалуйста, сразу после заполнения формы
регистрации напишите об этом Анне Олеговне на почту a.o.kolomytseva@urfu.ru и
укажите адрес пункта СДЭК, в котором вам было бы удобно получить документы.
Если у вас экстренная ситуация (документы нужны очень-очень срочно), тоже пишите
об этом Анне Олеговне.
Пожалуйста, имейте в виду, что справки нужно запросить на старте обучения, потому
что в период загруженности отдела №2, в котором эти справки вуз для вас получает,
сделать вам справку срочно точно не получится.
Также начиная с 2024 года процедура регистрации не является обязательной (если вы
уверены в том, что справка вам не нужна, вы можете не подавать документы).
Суть процесса (что вообще происходит и зачем вам это делать):
Вы предоставляете в вуз приписное / военный билет - и вуз знает, из какого 
военкомата им может прийти запрос, учитесь ли вы действительно в УрФУ или нет - и
вуз подтвердит факт вашей учёбы.
Вуз проводит параллельную регистрацию на время вашей учёбы (при этом вы всё также
остаётесь ""прикреплены"" к вашему военкомату).

По итогу заполненной формы вуз отправляет вам:
- справку для военкомата (это не эквивалент справки об учёбе в вузе, потому что в этой
справке идёт обращение конкретно к вашему военкомату). Эту справку в военкомат
несут те, у кого приписное, пришла повестка, есть риск попасть под призыв.
- помимо этого вуз также выдаст и обычную справку студента (на всякий случай)
- бумажный студенческий, если вы прикрепляли своё фото
На первом этапе (этапе поступления) со всеми справками для военкоматов вам
помогает Анна Олеговна по принципу «одного окна».
В дальнейшем, если вам понадобится такая справка, есть разделение между теми, у
кого есть военный билет, и теми, у кого приписное:
● Если у студента приписное свидетельство, то справку для военкомата оформляет
2ой отдел УРФУ. Для этого обращаться напрямую к Анне Олеговне
a.o.kolomytseva@urfu.ru + 7 912 213 76 73 (телеграм @Anniris21)
Период предоставления справки - периоды осеннего/весеннего призывов
(пожалуйста, обращайтесь заранее!!!)
● Если у студента военный билет, то справку для военкомата оформляет деканат
ИРИТ-РтФ. Для этого обращайтесь к Анне Андреевне: a.a.danilova@urfu.ru
Деканат оформляет справку по требованию."
Как заказать справки (вызов на сессию, об обучении, о выходе в академ и прочие)?;"Все эти справки оформляются в деканате ИРИТ-РтФ УрФУ - контактное лицо Анна
Андреевна Данилова a.a.danilova@urfu.ru
Для заказа справки вам нужно:
1. Из личного кабинета УрФУ собственно заказать справку:
заказ справок → заказать справку → справка студента → уполномоченное
подразделение /департамента института ДЕКАНАТ → количество экземпляров → место 
предъявление справки → заказать * указываем ДЕКАНАТ ИРИТ РтФ Мира 32
2. ВАЖНО! после пункта 1 вы заполняете эту форму - через неё вы сообщаете адрес и
условия доставки справки, если не можете физически прийти и забрать справку в
деканате УрФУ
Если есть возможность самому забрать справку в деканате, можно это сделать по 
адресу:
Деканат Ирит –РтФ ул. Мира 32
Часы работы:
Пн – Чт с 13.00 до 17.00
Пт с 13.00 до 16.00
Для получения справок при себе иметь студенческий билет"
Справка-вызов на сессию;"Для магистров первого года обучения можно заказать Справку-вызов на сессию, но в
календарный год можно не более 14 дней!
Периоды, когда можно уйти в отпуск, это 1 курс зимняя сессия: 6.01 - 26.01 2025 года и
также в летнюю сессию 09.06-1.07.2025 г.
Учтите, что 2 курс может взять 2 недели в зимнюю сессию и еще 4 месяца на
подготовку к дипломированию после сессии, примерно с середины февраля по 
середину июля. Решайте сами, но указывайте даты в заявлении."
ОПЛАТА ОБУЧЕНИЯ;"Для того чтобы произвести оплату контракта, надо знать номер вашего договора.
На 3-ем листе контракта (контракт находится в вашем личном кабинете) у вас указан
график платежей. Если у вас не рассрочка, то стандартный график - это оплата до 
01.09 - осеннего семестра и до 01.02 - весеннего семестра.
Онлайн-банкинг: https://pay.urfu.ru/direct?locale=ru
НO проверяйте реквизиты для оплаты!!! (часты ошибки, когда студенты отправляют
деньги в какой-то филиал в Нижнем Тагиле - туда не отправляйте деньги!)
Полное наименование: Федеральное государственное автономное образовательное
учреждение высшего образования «Уральский федеральный университет имени
первого Президента России Б.Н. Ельцина».
Реквизиты
Получатель: УФК по Свердловской области (ФГАОУ ВО «УрФУ имени первого Президента
России Б.Н. Ельцина, л/с 30626Ч23900)
ИНН: 6660003190
КПП: 667001001
Банк плательщика: Уральское ГУ Банка России//УФК по Свердловской области
г. Екатеринбург
БИК 016577551
Единый казн. счет 40102810645370000054
Казн. счет 03214643000000016200
КБК 00000000000000000130
ОКТМО 65701000
Для оплаты по двухсторонему и трехстороннему контракту заказывать счет НЕ НАДО !!!
Если у вас образовательный кредит и уже подошел срок оплаты:
заказать счет можно по ссылке: https://forms.yandex.ru/u/668c063ee010db6409fe8521/
/ЗАКАЗ СЧЕТОВ на оплату по образовательному кредиту/
Примечание !!!! В виде исключения если вы оформляете кредит с опозданием, можно 
написать на почту a.o.kolomytseva@urfu.ru НО обязательно укажите, что именно это 
причина для того, чтобы заказать счет впервые!
По вопросам рассрочки, если она нужна, обращайтесь к Анне Олеговне
a.o.kolomytseva@urfu.ru"
